show_id,release_year
NEs1414,2011
NEs1415,2020
NEs1416,2017
NEs1417,2021
NEs1418,2019
NEs1419,2021
NEs1420,2020
NEs1421,2021
NEs1422,2011
NEs1423,2005
NEs1424,2005
NEs1425,2021
NEs1426,2021
NEs1427,2003
NEs1428,2021
NEs1429,2018
NEs1430,2021
NEs1431,2021
NEs1432,2021
NEs1433,2021
NEs1434,2020
NEs1435,2016
NEs1436,2020
NEs1437,2021
NEs1438,2021
NEs1439,2020
NEs1440,2021
NEs1441,2021
NEs1442,1999
NEs1443,2020
NEs1444,2019
NEs1445,2012
NEs1446,2020
NEs1447,2014
NEs1448,2009
NEs1449,2021
NEs1450,2021
NEs1451,1987
NEs1452,2020
NEs1453,2013
NEs1454,1997
NEs1455,2009
NEs1456,2021
NEs1457,2007
NEs1458,2017
NEs1459,2017
NEs1460,2011
NEs1461,2021
NEs1462,1988
NEs1463,2020
NEs1464,2014
NEs1465,2019
NEs1466,2013
NEs1467,2021
NEs1468,2011
NEs1469,2021
NEs1470,1993
NEs1471,2017
NEs1472,2020
NEs1473,2014
NEs1474,2020
NEs1475,2020
NEs1476,2019
NEs1477,2020
NEs1478,2019
NEs1479,2020
NEs1480,2020
NEs1481,2018
NEs1482,2020
NEs1483,2020
NEs1484,2020
NEs1485,2020
NEs1486,2011
NEs1487,2020
NEs1488,2019
NEs1489,2020
NEs1490,2020
NEs1491,2020
NEs1492,2020
NEs1493,2020
NEs1494,2019
NEs1495,2020
NEs1496,2019
NEs1497,2018
NEs1498,2019
NEs1499,2012
NEs1500,2020
NEs1501,2020
NEs1502,2020
NEs1503,2020
NEs1504,2020
NEs1505,2020
NEs1506,2020
NEs1507,2016
NEs1508,2020
NEs1509,2010
NEs1510,2020
NEs1511,2018
NEs1512,2019
NEs1513,2020
NEs1514,2012
NEs1515,2019
NEs1516,2020
NEs1517,2020
NEs1518,2020
NEs1519,2020
NEs1520,2006
NEs1521,2020
NEs1522,2004
NEs1523,2009
NEs1524,2020
NEs1525,2018
NEs1526,2019
NEs1527,2017
NEs1528,2020
NEs1529,2020
NEs1530,2019
NEs1531,2020
NEs1532,2019
NEs1533,2020
NEs1534,2020
NEs1535,2012
NEs1536,2020
NEs1537,2016
NEs1538,2013
NEs1539,2011
NEs1540,2011
NEs1541,2016
NEs1542,2020
NEs1543,2020
NEs1544,2014
NEs1545,2018
NEs1546,2020
NEs1547,2020
NEs1548,2011
NEs1549,2006
NEs1550,2019
NEs1551,2020
NEs1552,2021
NEs1553,2020
NEs1554,2020
NEs1555,2020
NEs1556,2018
NEs1557,2020
NEs1558,2020
NEs1559,2020
NEs1560,2020
NEs1561,2020
NEs1562,2020
NEs1563,2020
NEs1564,2020
NEs1565,2020
NEs1566,2016
NEs1567,2013
NEs1568,2019
NEs1569,2019
NEs1570,2013
NEs1571,2019
NEs1572,2020
NEs1573,2020
NEs1574,2020
NEs1575,2020
NEs1576,2020
NEs1577,2020
NEs1578,2020
NEs1579,2019
NEs1580,2020
NEs1581,2020
NEs1582,2020
NEs1583,2016
NEs1584,2018
NEs1585,2020
NEs1586,2020
NEs1587,2020
NEs1588,2020
NEs1589,2020
NEs1590,2020
NEs1591,2020
NEs1592,2020
NEs1593,2020
NEs1594,2020
NEs1595,2020
NEs1596,2020
NEs1597,2020
NEs1598,2020
NEs1599,2019
NEs1600,2018
NEs1601,2020
NEs1602,2020
NEs1603,2013
NEs1604,2020
NEs1605,2020
NEs1606,2020
NEs1607,2020
NEs1608,2020
NEs1609,2014
NEs1610,2020
NEs1611,2009
NEs1612,2014
NEs1613,2014
NEs1614,2014
NEs1615,2018
NEs1616,2012
NEs1617,2006
NEs1618,2020
NEs1619,2015
NEs1620,2017
NEs1621,2018
NEs1622,1990
NEs1623,2006
NEs1624,2010
NEs1625,2006
NEs1626,2018
NEs1627,2018
NEs1628,2020
NEs1629,2018
NEs1630,2020
NEs1631,2020
NEs1632,2018
NEs1633,2019
NEs1634,2020
NEs1635,2020
NEs1636,2020
NEs1637,2020
NEs1638,2020
NEs1639,2020
NEs1640,1999
NEs1641,2020
NEs1642,2020
NEs1643,2020
NEs1644,2020
NEs1645,2018
NEs1646,2020
NEs1647,2020
NEs1648,2017
NEs1649,2020
NEs1650,2020
NEs1651,2020
NEs1652,2020
NEs1653,2020
NEs1654,2020
NEs1655,2015
NEs1656,2020
NEs1657,2020
NEs1658,2020
NEs1659,2020
NEs1660,2020
